id,uid,start_date,end_date,app_name,category
1,1,2022-2-11 18:27:0,2022-2-11 18:45:32,Adobe Photoshop,design
2,1,2022-2-15 0:1:0,2022-2-15 0:54:11,Metasploit,cyber
3,1,2022-1-11 5:8:0,2022-1-11 5:58:14,Adobe Photoshop,design
4,2,2022-2-25 12:4:0,2022-2-25 12:52:2,Jira,pm
5,5,2022-3-15 0:19:0,2022-3-15 0:55:27,Node.js,code
6,5,2022-1-26 21:17:0,2022-1-26 21:53:22,Node.js,code
7,6,2022-1-5 19:16:0,2022-1-5 19:57:10,Atom,code
8,7,2022-2-16 21:12:0,2022-2-16 21:46:6,Adobe Illustrator,design
9,8,2022-3-12 15:10:0,2022-3-12 15:39:50,Metasploit,cyber
10,8,2022-1-11 21:6:0,2022-1-11 21:52:11,Wireshark,cyber
11,8,2022-2-21 0:2:0,2022-2-21 0:50:5,Jira,pm
12,8,2022-2-10 2:5:0,2022-2-10 2:44:20,Slack,pm
13,9,2022-2-6 20:1:0,2022-2-6 20:54:13,Slack,pm
14,9,2022-1-8 0:3:0,2022-1-8 0:57:52,Word,hr
15,10,2022-1-13 13:0:0,2022-1-13 13:59:30,Adobe Photoshop,design
16,10,2022-3-12 20:21:0,2022-3-12 20:55:27,Wireshark,cyber
17,11,2022-3-20 22:13:0,2022-3-20 22:49:48,Metasploit,cyber
18,13,2022-3-15 2:9:0,2022-3-15 2:38:22,Git,code
19,14,2022-2-3 6:5:0,2022-2-3 6:39:56,Metasploit,cyber
20,14,2022-2-6 10:1:0,2022-2-6 10:39:10,Jira,pm
21,14,2022-1-19 13:9:0,2022-1-19 13:42:51,VS Code,code
22,14,2022-2-10 22:4:0,2022-2-10 22:51:27,Excel,hr
23,15,2022-2-8 6:24:0,2022-2-8 6:51:38,Word,hr
24,15,2022-1-21 0:10:0,2022-1-21 0:47:7,Metasploit,cyber
25,16,2022-1-14 8:14:0,2022-1-14 8:51:59,Atom,code
26,17,2022-2-25 1:4:0,2022-2-25 1:47:11,VS Code,code
27,18,2022-3-10 0:18:0,2022-3-10 0:49:25,Wireshark,cyber
28,18,2022-1-7 11:21:0,2022-1-7 11:44:19,Atom,code
29,18,2022-3-23 17:14:0,2022-3-23 17:37:45,Wireshark,cyber
30,19,2022-3-15 7:31:0,2022-3-15 7:44:0,Word,hr
31,19,2022-2-11 9:29:0,2022-2-11 9:56:42,VS Code,code
32,19,2022-3-16 14:34:0,2022-3-16 14:45:12,Git,code
33,19,2022-1-11 4:1:0,2022-1-11 4:54:1,Atom,code
34,21,2022-2-12 4:5:0,2022-2-12 4:56:13,Wireshark,cyber
35,22,2022-2-6 10:28:0,2022-2-6 10:39:0,Node.js,code
36,22,2022-2-26 22:8:0,2022-2-26 22:39:17,Excel,hr
37,23,2022-2-14 14:25:0,2022-2-14 14:58:25,Metasploit,cyber
38,23,2022-2-1 1:33:0,2022-2-1 1:37:38,Word,hr
39,23,2022-3-24 4:9:0,2022-3-24 4:57:10,Node.js,code
40,23,2022-2-21 19:24:0,2022-2-21 19:45:9,Adobe Photoshop,design
41,25,2022-1-11 3:25:0,2022-1-11 3:58:41,Node.js,code
42,25,2022-3-17 9:12:0,2022-3-17 9:44:7,Wireshark,cyber
43,26,2022-1-9 21:32:0,2022-1-9 21:38:24,Atom,code
44,26,2022-1-10 18:6:0,2022-1-10 18:54:47,Slack,pm
45,26,2022-3-17 15:20:0,2022-3-17 15:59:39,VS Code,code
46,26,2022-1-19 9:19:0,2022-1-19 9:38:28,Adobe Illustrator,design
47,26,2022-1-11 3:27:0,2022-1-11 3:57:8,Word,hr
48,27,2022-2-18 22:26:0,2022-2-18 22:53:38,Node.js,code
49,27,2022-1-13 13:11:0,2022-1-13 13:49:2,Metasploit,cyber
50,27,2022-2-24 20:27:0,2022-2-24 20:58:20,Atom,code
51,27,2022-2-21 21:28:0,2022-2-21 21:46:23,Word,hr
52,28,2022-2-27 10:16:0,2022-2-27 10:59:48,Git,code
53,28,2022-3-26 9:19:0,2022-3-26 9:53:52,VS Code,code
54,28,2022-1-22 16:21:0,2022-1-22 16:39:34,Jira,pm
55,28,2022-2-13 7:23:0,2022-2-13 7:48:32,Node.js,code
56,28,2022-2-11 17:4:0,2022-2-11 17:38:56,Adobe Photoshop,design
57,28,2022-2-21 12:34:0,2022-2-21 12:50:0,Adobe Illustrator,design
58,29,2022-1-6 7:3:0,2022-1-6 7:43:3,VS Code,code
59,31,2022-3-22 14:26:0,2022-3-22 14:42:50,Node.js,code
60,31,2022-3-2 18:26:0,2022-3-2 18:44:23,Adobe Photoshop,design
61,32,2022-1-24 16:7:0,2022-1-24 16:37:9,Word,hr
62,34,2022-3-8 4:25:0,2022-3-8 4:50:2,Metasploit,cyber
63,37,2022-1-18 8:3:0,2022-1-18 8:37:7,Atom,code
64,38,2022-3-1 12:31:0,2022-3-1 12:52:55,Node.js,code
65,39,2022-2-18 18:29:0,2022-2-18 18:38:30,VS Code,code
66,40,2022-1-15 18:19:0,2022-1-15 18:45:22,Node.js,code
67,40,2022-1-9 17:8:0,2022-1-9 17:45:14,Git,code
68,40,2022-2-10 4:35:0,2022-2-10 4:56:31,Word,hr
69,40,2022-1-13 8:23:0,2022-1-13 8:59:47,Adobe Photoshop,design
70,41,2022-3-15 12:24:0,2022-3-15 12:56:11,Node.js,code
71,43,2022-2-21 2:22:0,2022-2-21 2:38:3,Word,hr
72,44,2022-1-16 20:22:0,2022-1-16 20:43:51,Atom,code
73,47,2022-3-4 22:8:0,2022-3-4 22:42:8,Word,hr
74,47,2022-3-12 4:25:0,2022-3-12 4:59:45,Adobe Illustrator,design
75,47,2022-1-15 11:6:0,2022-1-15 11:54:49,Git,code
76,47,2022-3-2 17:12:0,2022-3-2 17:50:43,Wireshark,cyber
77,47,2022-1-1 5:21:0,2022-1-1 5:54:47,Atom,code
78,49,2022-1-21 8:30:0,2022-1-21 8:41:37,Adobe Illustrator,design
79,49,2022-1-27 0:5:0,2022-1-27 0:38:33,Slack,pm
80,49,2022-1-13 15:9:0,2022-1-13 15:51:40,Node.js,code
81,49,2022-2-12 2:30:0,2022-2-12 2:41:23,Word,hr
82,50,2022-3-6 1:4:0,2022-3-6 1:50:44,Adobe Photoshop,design
83,51,2022-2-11 18:32:0,2022-2-11 18:52:53,VS Code,code
84,51,2022-1-26 8:32:0,2022-1-26 8:39:49,Word,hr
85,51,2022-1-27 5:16:0,2022-1-27 5:38:49,VS Code,code
86,51,2022-1-7 9:25:0,2022-1-7 9:55:53,Excel,hr
87,51,2022-3-15 2:17:0,2022-3-15 2:53:38,VS Code,code
88,52,2022-2-1 7:25:0,2022-2-1 7:55:3,Git,code
89,52,2022-3-11 17:25:0,2022-3-11 17:46:33,Node.js,code
90,53,2022-2-20 12:26:0,2022-2-20 12:41:13,VS Code,code
91,54,2022-1-28 13:1:0,2022-1-28 13:54:52,Metasploit,cyber
92,55,2022-2-4 6:2:0,2022-2-4 6:55:7,Atom,code
93,56,2022-3-11 20:16:0,2022-3-11 20:45:17,Wireshark,cyber
94,56,2022-2-16 4:16:0,2022-2-16 4:53:36,Metasploit,cyber
95,56,2022-1-8 18:14:0,2022-1-8 18:56:27,Adobe Photoshop,design
96,56,2022-2-7 1:13:0,2022-2-7 1:50:45,Node.js,code
97,56,2022-2-17 6:11:0,2022-2-17 6:44:59,Slack,pm
98,56,2022-3-21 21:24:0,2022-3-21 21:50:32,Slack,pm
99,56,2022-1-6 12:27:0,2022-1-6 12:59:9,Git,code
100,58,2022-1-24 10:13:0,2022-1-24 10:52:16,Excel,hr
101,58,2022-1-21 5:16:0,2022-1-21 5:50:36,Slack,pm
102,58,2022-1-21 15:18:0,2022-1-21 15:59:57,Adobe Photoshop,design
103,58,2022-3-18 14:4:0,2022-3-18 14:45:20,Metasploit,cyber
104,58,2022-1-27 12:7:0,2022-1-27 12:58:48,Metasploit,cyber
105,59,2022-3-24 17:9:0,2022-3-24 17:38:40,Adobe Photoshop,design
106,59,2022-2-21 11:23:0,2022-2-21 11:46:50,Adobe Photoshop,design
107,60,2022-1-1 7:28:0,2022-1-1 7:51:48,VS Code,code
108,60,2022-1-15 6:9:0,2022-1-15 6:45:53,Wireshark,cyber
109,61,2022-1-14 9:31:0,2022-1-14 9:52:8,Slack,pm
110,61,2022-3-24 7:30:0,2022-3-24 7:46:7,Wireshark,cyber
111,61,2022-1-21 10:25:0,2022-1-21 10:48:35,Excel,hr
112,61,2022-3-8 21:12:0,2022-3-8 21:46:49,Adobe Photoshop,design
113,62,2022-1-24 21:8:0,2022-1-24 21:55:1,Atom,code
114,62,2022-2-5 5:23:0,2022-2-5 5:37:23,Node.js,code
115,63,2022-2-21 19:5:0,2022-2-21 19:39:22,Node.js,code
116,63,2022-1-22 5:16:0,2022-1-22 5:41:54,Excel,hr
117,63,2022-2-4 7:6:0,2022-2-4 7:43:40,Adobe Photoshop,design
118,63,2022-1-1 1:21:0,2022-1-1 1:57:48,Adobe Photoshop,design
119,64,2022-1-24 7:33:0,2022-1-24 7:54:23,Adobe Illustrator,design
120,64,2022-2-3 20:28:0,2022-2-3 20:40:19,Adobe Photoshop,design
121,65,2022-1-11 11:8:0,2022-1-11 11:54:13,Metasploit,cyber
122,65,2022-1-17 13:21:0,2022-1-17 13:47:27,Adobe Illustrator,design
123,66,2022-2-22 14:10:0,2022-2-22 14:55:4,Atom,code
124,66,2022-3-6 14:32:0,2022-3-6 14:39:55,Node.js,code
125,67,2022-1-9 2:30:0,2022-1-9 2:55:0,Atom,code
126,67,2022-2-23 13:23:0,2022-2-23 13:44:53,Metasploit,cyber
127,67,2022-3-18 21:35:0,2022-3-18 21:52:37,Excel,hr
128,67,2022-1-17 8:8:0,2022-1-17 8:39:38,Metasploit,cyber
129,67,2022-3-2 1:0:0,2022-3-2 1:40:36,Jira,pm
130,67,2022-1-25 18:31:0,2022-1-25 18:57:14,Adobe Photoshop,design
